Row,Fact Check Number,Fact Check Text
103,1,Maharashtra Times - Indiatimes
104,1,Newschecker
105,1,Samayam Telugu
106,1,Samayam Malayalam
107,1,Greece Fact Check
108,1,Amar Ujala
109,1,misbar.com
110,1,مسبار
111,1,Kallxo.com
112,1,Kallxo.com
113,1,विश्वास न्यूज़ फैक्ट चेक हिंदी
114,1,Vijaya Karnataka
115,1,Samayam Telugu
116,1,Boom Live
117,1,BOOM Bangladesh
118,1,Fact Crescendo Cambodia
119,1,Vijaya Karnataka
120,1,FoodFacts.org
121,1,Samayam Tamil
122,1,Telugu Post
123,1,Telugu Post
124,1,Kallxo.com
125,1,Navbharat Times - Indiatimes
126,1,Bufale.net
127,1,Navbharat Times - Indiatimes
128,1,USA Today
129,1,NewsMeter
130,1,Samayam Telugu
131,1,Samayam Tamil
132,1,Samayam Telugu
133,1,BOOM Fact Check
134,1,विश्वास न्यूज़ फैक्ट चेक हिंदी
135,1,Kallxo.com
136,1,Maharashtra Times - Indiatimes
137,1,مسبار
138,1,Animal Politico
139,1,Boom Live
140,1,Aaj Tak
141,1,Telugu Post
142,1,Maharashtra Times - Indiatimes
143,1,Maldita.es
144,1,Maldita.es
145,1,Alt News
146,1,NewsMobile
147,1,Maldita.es
148,1,Maldita.es
149,1,Maldita.es
150,1,NewsMobile
151,1,Maldita.es
152,1,NewsMobile
153,1,The France 24 Observers
154,1,Lupa - UOL
155,1,Lokmat
156,1,PolitiFact
157,1,Maharashtra Times - Indiatimes
158,1,Correctiv
159,1,Lead Stories
160,1,AFP Factual
161,1,فکت‌نامه
162,1,Full Fact
163,1,AFP Fact Check
164,1,dpa-factchecking
165,1,Samayam Telugu
166,1,Maharashtra Times - Indiatimes
167,1,Newschecker
168,1,Doğruluk Payı
169,1,FactCheckHub
170,1,Tempo.co
171,1,NewsMeter
172,1,misbar.com
173,1,afp verificat
174,1,AajTak Bangla
175,1,AFP Factual
176,1,Newtral
177,1,مسبار
178,1,Newschecker
179,1,विश्वास न्यूज़ फैक्ट चेक हिंदी
180,1,Aaj Tak
1,1,Samayam Malayalam
2,1,مسبار
3,1,Navbharat Times - Indiatimes
4,1,THIP Media
5,1,Snopes
6,1,Newtral
7,1,Samayam Telugu
8,1,Samayam Tamil
9,1,Samayam Malayalam
10,1,Asianet News
11,1,مسبار
12,1,Bufale.net
13,1,Samayam Malayalam
14,1,Greece Fact Check
15,1,Samayam Telugu
16,1,Navbharat Times - Indiatimes
17,1,Maharashtra Times - Indiatimes
18,1,DigitEye India
19,1,Samayam Telugu
20,1,Maharashtra Times - Indiatimes
21,1,Samayam Malayalam
22,1,Samayam Telugu
23,1,India TV Hindi
24,1,Navbharat Times - Indiatimes
25,1,مسبار
26,1,مسبار
27,1,Maharashtra Times - Indiatimes
28,1,Samayam Malayalam
29,1,أخبار ميتر
30,1,Bufale.net
31,1,NewsMobile
32,1,Samayam Telugu
33,1,Samayam Tamil
34,1,Samayam Tamil
35,1,Navbharat Times - Indiatimes
36,1,Проверено.Медиа
37,1,DigitEye India
38,1,Samayam Telugu
39,1,Aaj Tak
40,1,Maharashtra Times - Indiatimes
41,1,Maldita.es
41,2,Newtral
42,1,Alt News
43,1,Factcheck.bg
44,1,Maldita.es
45,1,Maldita.es
45,2,Maldita.es
46,1,Navbharat Times - Indiatimes
47,1,Vijaya Karnataka
48,1,THIP Media
49,1,مسبار
50,1,Newschecker
51,1,Aaj Tak
52,1,FoodFacts.org
53,1,विश्वास न्यूज़ फैक्ट चेक हिंदी
54,1,misbar.com
55,1,NewsMeter
56,1,Newschecker
57,1,Kallxo.com
58,1,Alt News
59,1,Tempo.co
60,1,Kallxo.com
61,1,Amar Ujala
62,1,Telugu Post
63,1,Maharashtra Times - Indiatimes
64,1,Samayam Tamil
65,1,مسبار
66,1,Gigafact
67,1,Samayam Tamil
68,1,misbar.com
69,1,vishvasnews.com
70,1,Newschecker
71,1,Samayam Malayalam
72,1,The Quint
73,1,Samayam Tamil
74,1,مسبار
75,1,Amar Ujala
76,1,Telugu Post
77,1,Telugu Post
78,1,Boom Live
79,1,VOA Indonesia
80,1,Bufale.net
81,1,OKO.press
82,1,EFE Verifica
83,1,The Quint
84,1,Navbharat Times - Indiatimes
85,1,India TV Hindi
86,1,BOOM Bangladesh
87,1,Samayam Telugu
88,1,Newschecker
89,1,Maharashtra Times - Indiatimes
90,1,Snopes
91,1,AajTak Bangla
92,1,Alt News
93,1,Navbharat Times - Indiatimes
94,1,Kallxo.com
95,1,ICIR Nigeria
96,1,Navbharat Times - Indiatimes
97,1,Vijaya Karnataka
98,1,Samayam Malayalam
99,1,Bufale.net
100,1,Aaj Tak
101,1,Newschecker
102,1,Newschecker
103,1,Maharashtra Times - Indiatimes
104,1,Newschecker
105,1,Samayam Telugu
106,1,Samayam Malayalam
107,1,Greece Fact Check
108,1,Amar Ujala
109,1,misbar.com
110,1,مسبار
111,1,Kallxo.com
112,1,Kallxo.com
113,1,विश्वास न्यूज़ फैक्ट चेक हिंदी
114,1,Vijaya Karnataka
115,1,Samayam Telugu
116,1,Boom Live
117,1,BOOM Bangladesh
118,1,Fact Crescendo Cambodia
119,1,Vijaya Karnataka
120,1,FoodFacts.org
121,1,Samayam Tamil
122,1,Telugu Post
123,1,Telugu Post
124,1,Kallxo.com
125,1,Navbharat Times - Indiatimes
126,1,Bufale.net
127,1,Navbharat Times - Indiatimes
128,1,USA Today
129,1,NewsMeter
130,1,Samayam Telugu
131,1,Samayam Tamil
132,1,Samayam Telugu
133,1,BOOM Fact Check
134,1,विश्वास न्यूज़ फैक्ट चेक हिंदी
135,1,Kallxo.com
136,1,Maharashtra Times - Indiatimes
137,1,مسبار
138,1,Animal Politico
139,1,Boom Live
140,1,Aaj Tak
141,1,Telugu Post
142,1,Maharashtra Times - Indiatimes
143,1,Maldita.es
144,1,Maldita.es
145,1,Alt News
146,1,NewsMobile
147,1,Maldita.es
148,1,Maldita.es
149,1,Maldita.es
150,1,NewsMobile
151,1,Maldita.es
152,1,NewsMobile
153,1,The France 24 Observers
154,1,Lupa - UOL
155,1,Lokmat
156,1,PolitiFact
157,1,Maharashtra Times - Indiatimes
158,1,Correctiv
159,1,Lead Stories
160,1,AFP Factual
161,1,فکت‌نامه
162,1,Full Fact
163,1,AFP Fact Check
164,1,dpa-factchecking
165,1,Samayam Telugu
