Row,Fact Check Number,Fact Check Text
117,1,Periksa Fakta
118,1,AFP Fact Check
119,1,AFP Fact Check
120,1,AFP Fact Check
121,1,AFP Fact Check
122,1,AFP Fact Check
123,1,AFP Fact Check
124,1,AFP Fact Check
125,1,AFP Fact Check
126,1,AFP Fact Check
127,1,Ghana Fact
128,1,AFP Fact Check
129,1,AFP Fact Check
130,1,Ghana Fact
131,1,विश्वास न्यूज़ फैक्ट चेक हिंदी
132,1,AFP Fact Check
133,1,AFP Fact Check
134,1,AFP Fact Check
135,1,AFP Fact Check
136,1,Rappler
137,1,AFP Fact Check
138,1,AFP Fact Check
139,1,The Quint
140,1,AFP Fact Check
141,1,The Quint
142,1,AFP Fact Check
143,1,台灣事實查核中心
144,1,AFP Fact Check
145,1,AFP Fact Check
146,1,AFP Fact Check
147,1,AFP Fact Check
148,1,팩트체크
149,1,AFP Fact Check
150,1,AFP Fact Check
151,1,AFP Fact Check
152,1,Rappler
153,1,AFP Fact Check
154,1,VERA Files
155,1,AFP Fact Check
156,1,FACTLY
157,1,AFP Fact Check
158,1,VERA Files
159,1,AFP Fact Check
160,1,India Today
161,1,AFP Fact Check
162,1,AFP Fact Check
163,1,Rappler
164,1,NewsMobile
165,1,AFP Fact Check
166,1,PolitiFact
167,1,AFP Fact Check
168,1,AFP Fact Check
169,1,AFP Fact Check
170,1,VERA Files
171,1,FACTLY
172,1,BOOM Fact Check
173,1,Science Feedback
174,1,VERA Files
175,1,오마이뉴스
176,1,Observador
177,1,VERA Files
178,1,Rappler
179,1,Rappler
180,1,AFP Fact Check
181,1,AFP Fact Check
182,1,全民查假會社
183,1,VERA Files
184,1,FactCheck.org
185,1,AFP Fact Check
186,1,팩트체크
187,1,annie lab
188,1,India Today
189,1,AFP Fact Check
190,1,AFP Fact Check
191,1,misbar.com
192,1,Fact Crescendo Cambodia
193,1,annie lab
194,1,AFP Fact Check
195,1,VERA Files
196,1,AFP Fact Check
197,1,Teyit
198,1,Fact Crescendo Cambodia
199,1,10tv.com
199,2,WTSP.com
199,3,weareiowa.com
200,1,Observador
