Row,Fact Check Number,Fact Check Text
1,1,FactCheck.org
2,1,AFP Fact Check
3,1,AFP Fact Check
4,1,FactCheck.org
5,1,AFP Fact Check
6,1,Australian Associated Press
7,1,Australian Associated Press
8,1,India Today
9,1,Alt News
10,1,AFP Fact Check
11,1,USA Today
12,1,AFP Fact Check
13,1,USA Today
14,1,VOA
15,1,India Today
16,1,USA Today
17,1,Lighthouse Journalism
18,1,AFP Fact Check
19,1,The Quint
20,1,Newsweek
21,1,VERA Files
22,1,Newsweek
23,1,AFP Fact Check
24,1,USA Today
25,1,BOOM Fact Check
26,1,USA Today
27,1,FactCheck.org
28,1,USA Today
29,1,Full Fact
30,1,PolitiFact
31,1,Snopes
32,1,The Quint
33,1,PolitiFact
34,1,AFP Fact Check
35,1,The Quint
36,1,USA Today
37,1,The Quint
38,1,ABC10
39,1,Logically Facts
40,1,Logically Facts
41,1,Logically Facts
42,1,Full Fact
43,1,Logically Facts
44,1,PolitiFact
