Row,Fact Check Number,Fact Check Text
1,1,VOA Indonesia
2,1,The France 24 Observers
3,1,Full Fact
4,1,Вистиномер
5,1,Snopes
6,1,فتبينوا
7,1,Вокс Україна
8,1,Lead Stories
9,1,Проверено.Медиа
10,1,AFP Fakty
11,1,Telugu Post
12,1,The Quint
13,1,Newsweek
14,1,TF1 Info
15,1,في ميزان فرانس برس
16,1,Navbharat Times - Indiatimes
17,1,Вистиномер
18,1,Maharashtra Times - Indiatimes
19,1,مسبار
20,1,StopFake
21,1,StopFake
22,1,OKO.press
23,1,Проверено.Медиа
24,1,AFP Factual
25,1,Голос Америки
26,1,Teyit
27,1,USA Today
28,1,Вокс Україна
29,1,VOA
30,1,Maharashtra Times - Indiatimes
31,1,Ellinika Hoaxes
32,1,Tjekdet
33,1,VOA
34,1,فتبينوا
35,1,Navbharat Times - Indiatimes
36,1,StopFake.org
37,1,StopFake
38,1,StopFake
39,1,Full Fact
40,1,StopFake
41,1,فتبينوا
42,1,StopFake
43,1,مسبار
44,1,FactReview
45,1,StopFake
46,1,Check Your Fact
47,1,Вистиномер
48,1,Logically Facts
49,1,Вистиномер
50,1,مسبار
51,1,Вокс Україна
52,1,Lighthouse Journalism
53,1,Fast Check 🔍
54,1,Bufale.net
55,1,AajTak Bangla
56,1,TF1 Info
57,1,Lead Stories
58,1,VOA Indonesia
59,1,في ميزان فرانس برس
60,1,台灣媒體素養計畫 - 事實查核中心
61,1,Faktograf
62,1,mfcc.mn
63,1,Вокс Україна
64,1,Ellinika Hoaxes
65,1,dpa-factchecking
66,1,Вокс Україна
67,1,Voz de América
68,1,مسبار
69,1,AFP Fact Check
70,1,Australian Associated Press
71,1,Проверено.Медиа
72,1,Teyit
73,1,Вистиномер
74,1,مسبار
75,1,مسبار
76,1,Verificado MX
77,1,Animal Politico
78,1,Doğruluk Payı
79,1,Вистиномер
80,1,StopFake
81,1,Вокс Україна
82,1,misbar.com
83,1,VOA
84,1,StopFake
85,1,StopFake
86,1,StopFake
87,1,VOA
88,1,Rappler
89,1,StopFake
90,1,StopFake
91,1,Factuel AFP
92,1,VOA Thai
93,1,Doğruluk Payı
94,1,Estadão
95,1,Logically Facts
96,1,dpa-factchecking
97,1,Вокс Україна
98,1,dpa-factchecking
99,1,StopFake
100,1,StopFake
1,1,VOA Indonesia
2,1,The France 24 Observers
3,1,Full Fact
4,1,Вистиномер
5,1,Snopes
6,1,فتبينوا
7,1,Вокс Україна
8,1,Lead Stories
9,1,Проверено.Медиа
10,1,AFP Fakty
11,1,Telugu Post
12,1,The Quint
13,1,Newsweek
14,1,TF1 Info
15,1,في ميزان فرانس برس
16,1,Navbharat Times - Indiatimes
17,1,Вистиномер
18,1,Maharashtra Times - Indiatimes
19,1,مسبار
20,1,StopFake
21,1,StopFake
22,1,OKO.press
23,1,Проверено.Медиа
24,1,AFP Factual
25,1,Голос Америки
26,1,Teyit
27,1,USA Today
28,1,Вокс Україна
29,1,VOA
30,1,Maharashtra Times - Indiatimes
31,1,Ellinika Hoaxes
32,1,Tjekdet
33,1,VOA
34,1,فتبينوا
35,1,Navbharat Times - Indiatimes
36,1,StopFake.org
37,1,StopFake
38,1,StopFake
39,1,Full Fact
40,1,StopFake
41,1,فتبينوا
42,1,StopFake
43,1,مسبار
44,1,FactReview
45,1,StopFake
46,1,Check Your Fact
47,1,Вистиномер
48,1,Logically Facts
49,1,Вистиномер
50,1,مسبار
51,1,Вокс Україна
52,1,Lighthouse Journalism
53,1,Fast Check 🔍
54,1,Bufale.net
55,1,AajTak Bangla
56,1,TF1 Info
57,1,Lead Stories
58,1,VOA Indonesia
59,1,في ميزان فرانس برس
60,1,台灣媒體素養計畫 - 事實查核中心
61,1,Faktograf
62,1,mfcc.mn
63,1,Вокс Україна
64,1,Ellinika Hoaxes
65,1,dpa-factchecking
66,1,Вокс Україна
67,1,Voz de América
68,1,مسبار
69,1,AFP Fact Check
70,1,Australian Associated Press
71,1,Проверено.Медиа
72,1,Teyit
73,1,Вистиномер
74,1,مسبار
75,1,مسبار
76,1,Verificado MX
77,1,Animal Politico
78,1,Doğruluk Payı
79,1,Вистиномер
80,1,StopFake
81,1,Вокс Україна
82,1,misbar.com
83,1,VOA
84,1,StopFake
85,1,StopFake
86,1,StopFake
87,1,VOA
88,1,Rappler
89,1,StopFake
90,1,StopFake
91,1,Factuel AFP
92,1,VOA Thai
93,1,Doğruluk Payı
94,1,Estadão
95,1,Logically Facts
96,1,dpa-factchecking
97,1,Вокс Україна
98,1,dpa-factchecking
99,1,StopFake
100,1,StopFake
101,1,VOA
102,1,သတင်းအချက်အလက်စိစစ်မှု
103,1,المشاهد نت
104,1,StopFake
105,1,Fasocheck
106,1,VOA Indonesia
107,1,StopFake.org
108,1,StopFake
109,1,Factcheck Nederland
110,1,Cek Fakta Tempo - Tempo.co
111,1,StopFake
112,1,PolitiFact
113,1,Tempo.co
114,1,StopFake
115,1,Voz de América
116,1,ColombiaCheck
117,1,VOA
118,1,StopFake.org
119,1,Polígrafo - SAPO
120,1,Correctiv
121,1,annie lab
122,1,Faktograf
123,1,Вокс Україна
124,1,dpa-factchecking
125,1,Вокс Україна
126,1,Ellinika Hoaxes
127,1,သတင်းအချက်အလက်စိစစ်မှု
128,1,AFP Checamos
129,1,misbar.com
130,1,AFP Fact Check
131,1,فتبينوا
132,1,Newtral
133,1,Вистиномер
134,1,FACTLY
135,1,Animal Politico
136,1,ColombiaCheck
137,1,Вистиномер
138,1,Lead Stories
139,1,Greece Fact Check
140,1,Ellinika Hoaxes
141,1,Ellinika Hoaxes
142,1,AFP Checamos
143,1,Factuel AFP
144,1,Maldita.es
145,1,Newschecker
146,1,AFP Checamos
147,1,Voz de América
148,1,فتبينوا
149,1,AFP Fact Check
150,1,فتبينوا
151,1,India Today
152,1,Correctiv
153,1,Проверено.Медиа
154,1,StopFake
155,1,StopFake
156,1,AFP Fact Check
157,1,StopFake.org
158,1,misbar.com
159,1,dpa-factchecking
160,1,Вистиномер
161,1,Вистиномер
162,1,AFP Factual
163,1,AFP Factual
164,1,Ellinika Hoaxes
165,1,Check Your Fact
166,1,misbar.com
167,1,Teyit
168,1,AFP Fakty
169,1,VOA
170,1,EFE Verifica
171,1,Lead Stories
172,1,Newtral
173,1,مسبار
174,1,Logically Facts
175,1,Fast Check 🔍
176,1,Lead Stories
177,1,AFP Factual
178,1,فارق
179,1,Greece Fact Check
180,1,في ميزان فرانس برس
